"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10173120,1.625,39.958,0,177.417,0,575.965,24.387,34.101,9.281,166.774,0.062,24.699,33.718,-9.281,-0.312,0.383,-0.062,"POLYGON ((39.916665786999943 1.5833331009999867, 39.999999119999941 1.5833331009999867, 39.999999119999941 1.6666664339999866, 39.916665786999943 1.6666664339999866, 39.916665786999943 1.5833331009999867))"
10173130,3.208,38.792,2.625,173.926,0.015,539.5,22.723,33.289,10.225,158.262,0.069,23.567,32.106,-7.6,-0.844,1.183,-0.054,"POLYGON ((38.74999912499996 3.166666427999985, 38.833332457999958 3.166666427999985, 38.833332457999958 3.2499997609999851, 38.74999912499996 3.2499997609999851, 38.74999912499996 3.166666427999985))"
10173297,2.875,37.125,0,165.973,0,508.03,21.097,32.771,7.356,170.417,0.044,21.809,31.235,-7.356,-0.711,1.536,-0.044,"POLYGON ((37.083332464999955 2.83333309599999, 37.166665797999954 2.83333309599999, 37.166665797999954 2.91666642899999, 37.083332464999955 2.91666642899999, 37.083332464999955 2.83333309599999))"
10173723,2.542,37.542,0.275,168.518,0.002,548.935,22.897,33.751,7.865,170.146,0.048,23.435,32.173,-7.59,-0.538,1.578,-0.046,"POLYGON ((37.499999129999964 2.4999997639999876, 37.583332462999962 2.4999997639999876, 37.583332462999962 2.5833330969999877, 37.499999129999964 2.5833330969999877, 37.499999129999964 2.4999997639999876))"
10173724,3.125,38.958,1.35,174.56,0.008,541.505,22.824,33.322,10.87,158.795,0.074,23.662,32.218,-9.52,-0.837,1.104,-0.066,"POLYGON ((38.916665790999957 3.0833330949999862, 38.999999123999956 3.0833330949999862, 38.999999123999956 3.1666664279999863, 38.916665790999957 3.1666664279999863, 38.916665790999957 3.0833330949999862))"
10173741,1.708,38.708,0,172.033,0,558.705,23.611,33.681,2.402,167.925,0.003,23.981,32.709,-2.402,-0.37,0.971,-0.003,"POLYGON ((38.666665791999947 1.6666664339999855, 38.749999124999945 1.6666664339999855, 38.749999124999945 1.7499997669999854, 38.666665791999947 1.7499997669999854, 38.666665791999947 1.6666664339999855))"
10174075,0.125,38.292,0,153.076,0,489.92,21.67,30.991,25.051,149.741,0.15,21.601,31.164,-25.051,0.07,-0.173,-0.15,"POLYGON ((38.249999126999938 0.0833331069999872, 38.333332459999937 0.0833331069999872, 38.333332459999937 0.16666643999998718, 38.249999126999938 0.16666643999998718, 38.249999126999938 0.0833331069999872))"
10174101,3.875,37.292,2.975,170.729,0.017,555.34,23.148,34.006,17.507,166.203,0.11,23.73,32.63,-14.532,-0.582,1.376,-0.092,"POLYGON ((37.249999130999953 3.8333330919999895, 37.333332463999952 3.8333330919999895, 37.333332463999952 3.9166664249999896, 37.249999130999953 3.9166664249999896, 37.249999130999953 3.8333330919999895))"
10174140,3.958,37.458,6.575,170.352,0.039,538.575,22.493,33.476,16.157,164.889,0.099,23.181,32.127,-9.582,-0.688,1.349,-0.061,"POLYGON ((37.416665796999951 3.9166664249999883, 37.499999129999949 3.9166664249999883, 37.499999129999949 3.9999997579999884, 37.416665796999951 3.9999997579999884, 37.416665796999951 3.9166664249999883))"
10174398,2.292,38.042,0,164.804,0,445.735,18.866,30.85,8.537,169.531,0.048,19.854,29.324,-8.537,-0.988,1.526,-0.048,"POLYGON ((37.999999127999956 2.2499997649999841, 38.083332460999955 2.2499997649999841, 38.083332460999955 2.3333330979999842, 37.999999127999956 2.3333330979999842, 37.999999127999956 2.2499997649999841))"
10174454,1.542,36.542,0,157.635,0,469.295,19.865,31.422,20.681,150.949,0.108,20.359,30.349,-20.681,-0.494,1.073,-0.108,"POLYGON ((36.49999913399995 1.4999997679999879, 36.583332466999948 1.4999997679999879, 36.583332466999948 1.5833331009999878, 36.49999913399995 1.5833331009999878, 36.49999913399995 1.4999997679999879))"
