locationid,latitude,longitude,CSUMPRE,CSUMPET,CPOVRPR,CSUMGDD1,CAvgMinT,CAvgMaxT,LTNSUMP,LTNSPET,LTNASPO,LTAvgMnT,LTAvgMxT,DFLTSUM,DFLTMinT,DFLTMaxT,DFLTPVP,shapewkt
10319287,3.458,39.458,4.71,24.529,0.192,77.509,17.746,24.4,9.479,32.05,0.283,22.143,30.429,-4.769,-4.397,-6.029,-0.091,"POLYGON ((39.41666578899995 3.4166664269999885, 39.499999121999949 3.4166664269999885, 39.499999121999949 3.4999997599999886, 39.41666578899995 3.4999997599999886, 39.41666578899995 3.4166664269999885))"
10333609,3.458,39.375,6.002,24.861,0.241,79.168,17.863,24.735,9.4,35.016,0.272,22.233,30.573,-3.398,-4.37,-5.839,-0.031,"POLYGON ((39.333332455999965 3.4166664269999885, 39.416665788999964 3.4166664269999885, 39.416665788999964 3.4999997599999886, 39.333332455999965 3.4999997599999886, 39.333332455999965 3.4166664269999885))"
10489419,3.458,39.542,4.71,24.638,0.191,77.509,17.746,24.4,5.742,31.42,0.175,20.764,29.277,-1.032,-3.018,-4.877,0.016,"POLYGON ((39.499999121999963 3.4166664269999885, 39.583332454999962 3.4166664269999885, 39.583332454999962 3.4999997599999886, 39.499999121999963 3.4999997599999886, 39.499999121999963 3.4166664269999885))"
10205427,3.542,39.625,4.71,24.582,0.192,77.509,17.746,24.4,4.945,34.844,0.143,21.579,30.071,-0.235,-3.833,-5.671,0.048,"POLYGON ((39.583332454999947 3.4999997599999872, 39.666665787999946 3.4999997599999872, 39.666665787999946 3.5833330929999874, 39.583332454999947 3.5833330929999874, 39.583332454999947 3.4999997599999872))"
10209095,3.625,39.708,2.958,30.596,0.097,87.855,18.831,26.27,4.945,35.45,0.141,22.117,30.558,-1.987,-3.286,-4.288,-0.044,"POLYGON ((39.66666578799996 3.583333092999986, 39.749999120999959 3.583333092999986, 39.749999120999959 3.6666664259999862, 39.66666578799996 3.6666664259999862, 39.66666578799996 3.583333092999986))"
10226215,3.625,38.125,5.564,35.677,0.156,96.772,19.835,27.814,2.677,37.208,0.068,21.918,30.449,2.886,-2.083,-2.635,0.088,"POLYGON ((38.083332460999941 3.583333092999986, 38.16666579399994 3.583333092999986, 38.16666579399994 3.6666664259999862, 38.083332460999941 3.6666664259999862, 38.083332460999941 3.583333092999986))"
10280360,3.375,39.458,5.564,27.145,0.205,87.184,18.799,26.111,9.424,35.149,0.269,22.273,30.626,-3.86,-3.474,-4.515,-0.064,"POLYGON ((39.41666578899995 3.3333330939999897, 39.499999121999949 3.3333330939999897, 39.499999121999949 3.41666642699999, 39.41666578899995 3.41666642699999, 39.41666578899995 3.3333330939999897))"
10310560,2.792,37.875,12.438,60.885,0.204,138.91,25.86,33.829,0,39.188,0,23.869,31.956,12.438,1.991,1.872,0.204,"POLYGON ((37.833332461999959 2.7499997629999839, 37.916665794999957 2.7499997629999839, 37.916665794999957 2.8333330959999841, 37.833332461999959 2.8333330959999841, 37.833332461999959 2.7499997629999839))"
10310569,3.458,38.958,10.563,26.023,0.406,83.781,18.519,25.407,4.988,35.324,0.145,23.38,31.505,5.575,-4.861,-6.098,0.261,"POLYGON ((38.916665790999957 3.4166664269999885, 38.999999123999956 3.4166664269999885, 38.999999123999956 3.4999997599999886, 38.916665790999957 3.4999997599999886, 38.916665790999957 3.4166664269999885))"
10310617,1.292,36.625,147.275,23.78,6.193,73.332,17.287,23.665,1.895,28.982,0.072,14.864,24.721,145.38,2.422,-1.056,6.121,"POLYGON ((36.583332466999963 1.2499997689999844, 36.666665799999961 1.2499997689999844, 36.666665799999961 1.3333331019999843, 36.583332466999963 1.3333331019999843, 36.583332466999963 1.2499997689999844))"
