"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10226215,3.625,38.125,0.125,141.493,0.001,456.905,20.44,30.02,3.093,161.506,0.017,21.218,29.723,-2.968,-0.778,0.297,-0.016,"POLYGON ((38.083332460999941 3.583333092999986, 38.16666579399994 3.583333092999986, 38.16666579399994 3.6666664259999862, 38.083332460999941 3.6666664259999862, 38.083332460999941 3.583333092999986))"
10489419,3.458,39.542,0,147.263,0,414.62,18.937,28.686,0.091,149.655,0.001,20.238,29.188,-0.091,-1.301,-0.502,-0.001,"POLYGON ((39.499999121999963 3.4166664269999885, 39.583332454999962 3.4166664269999885, 39.583332454999962 3.4999997599999886, 39.499999121999963 3.4999997599999886, 39.499999121999963 3.4166664269999885))"
10209095,3.625,39.708,0,149.321,0,448.775,20.355,29.56,0.083,163.303,0.001,21.45,30.097,-0.083,-1.096,-0.537,-0.001,"POLYGON ((39.66666578799996 3.583333092999986, 39.749999120999959 3.583333092999986, 39.749999120999959 3.6666664259999862, 39.66666578799996 3.6666664259999862, 39.66666578799996 3.583333092999986))"
10280360,3.375,39.458,0,149.843,0,457.195,20.55,29.907,0.109,162.128,0.001,21.559,30.141,-0.109,-1.009,-0.234,-0.001,"POLYGON ((39.41666578899995 3.3333330939999897, 39.499999121999949 3.3333330939999897, 39.499999121999949 3.41666642699999, 39.41666578899995 3.41666642699999, 39.41666578899995 3.3333330939999897))"
10319287,3.458,39.458,0,149.251,0,451.93,20.385,29.723,0.091,151.204,0.001,21.569,30.166,-0.091,-1.183,-0.443,-0.001,"POLYGON ((39.41666578899995 3.4166664269999885, 39.499999121999949 3.4166664269999885, 39.499999121999949 3.4999997599999886, 39.41666578899995 3.4999997599999886, 39.41666578899995 3.4166664269999885))"
10333609,3.458,39.375,0.975,149.086,0.007,454.897,20.493,29.808,0.107,161.313,0.001,21.538,30.083,0.868,-1.045,-0.275,0.006,"POLYGON ((39.333332455999965 3.4166664269999885, 39.416665788999964 3.4166664269999885, 39.416665788999964 3.4999997599999886, 39.333332455999965 3.4999997599999886, 39.333332455999965 3.4166664269999885))"
10205427,3.542,39.625,0,148.587,0,435.096,19.759,29.203,0.083,161.801,0.001,20.922,29.678,-0.083,-1.163,-0.475,-0.001,"POLYGON ((39.583332454999947 3.4999997599999872, 39.666665787999946 3.4999997599999872, 39.666665787999946 3.5833330929999874, 39.583332454999947 3.5833330929999874, 39.583332454999947 3.4999997599999872))"
10310617,1.292,36.625,71.9,115.59,0.622,273.47,13.573,24.614,20.703,132.265,0.163,13.967,24.455,51.197,-0.394,0.159,0.459,"POLYGON ((36.583332466999963 1.2499997689999844, 36.666665799999961 1.2499997689999844, 36.666665799999961 1.3333331019999843, 36.583332466999963 1.3333331019999843, 36.583332466999963 1.2499997689999844))"
10310637,2.708,39.958,0,157.523,0,509.935,22.451,31.516,0.253,173.726,0.001,23.227,31.756,-0.253,-0.776,-0.239,-0.001,"POLYGON ((39.916665786999943 2.6666664299999852, 39.999999119999941 2.6666664299999852, 39.999999119999941 2.7499997629999853, 39.916665786999943 2.7499997629999853, 39.916665786999943 2.6666664299999852))"
10311295,2.125,37.542,0,135.732,0,506.775,22.348,31.438,0.398,164.008,0.003,22.355,30.564,-0.398,-0.006,0.873,-0.003,"POLYGON ((37.499999129999964 2.0833330989999865, 37.583332462999962 2.0833330989999865, 37.583332462999962 2.1666664319999867, 37.499999129999964 2.1666664319999867, 37.499999129999964 2.0833330989999865))"
10311303,1.458,36.792,28.325,120.106,0.236,349.45,16.462,26.835,11.723,137.838,0.084,16.618,26.448,16.602,-0.156,0.387,0.152,"POLYGON ((36.74999913299996 1.4166664349999891, 36.833332465999959 1.4166664349999891, 36.833332465999959 1.499999767999989, 36.74999913299996 1.499999767999989, 36.74999913299996 1.4166664349999891))"
10311345,2.125,40.042,0,160.712,0,530.96,23.197,32.165,0.27,178.278,0.001,23.752,32.286,-0.27,-0.554,-0.121,-0.001,"POLYGON ((39.999999119999956 2.0833330989999865, 40.083332452999954 2.0833330989999865, 40.083332452999954 2.1666664319999867, 39.999999119999956 2.1666664319999867, 39.999999119999956 2.0833330989999865))"
10311924,2.625,38.125,0.15,143.611,0.001,491.405,21.665,31.083,0.183,169.951,0.001,22.071,30.255,-0.033,-0.406,0.828,0,"POLYGON ((38.083332460999941 2.5833330969999864, 38.16666579399994 2.5833330969999864, 38.16666579399994 2.6666664299999865, 38.083332460999941 2.6666664299999865, 38.083332460999941 2.5833330969999864))"
10311988,1.458,36.375,49.1,122.562,0.401,430.83,19.601,29.121,44.828,139.468,0.328,19.381,28.756,4.272,0.22,0.365,0.072,"POLYGON ((36.333332467999952 1.4166664349999891, 36.416665800999951 1.4166664349999891, 36.416665800999951 1.499999767999989, 36.333332467999952 1.499999767999989, 36.333332467999952 1.4166664349999891))"
10312266,3.125,37.292,2.475,136.758,0.018,525,22.889,32.13,1.865,161.789,0.011,23.118,31.426,0.61,-0.229,0.704,0.008,"POLYGON ((37.249999130999953 3.0833330949999862, 37.333332463999952 3.0833330949999862, 37.333332463999952 3.1666664279999863, 37.249999130999953 3.1666664279999863, 37.249999130999953 3.0833330949999862))"
10312322,0.708,39.208,0,147.869,0,520.18,23.369,31.285,0.079,169.354,0.001,23.021,31.382,-0.079,0.349,-0.097,-0.001,"POLYGON ((39.166665789999939 0.66666643799998582, 39.249999122999938 0.66666643799998582, 39.249999122999938 0.74999977099998583, 39.166665789999939 0.74999977099998583, 39.166665789999939 0.66666643799998582))"
10312675,2.792,39.708,0,155.565,0,497.85,21.98,31.193,0.915,168.96,0.005,22.777,31.29,-0.915,-0.796,-0.096,-0.005,"POLYGON ((39.66666578799996 2.7499997629999839, 39.749999120999959 2.7499997629999839, 39.749999120999959 2.8333330959999841, 39.66666578799996 2.8333330959999841, 39.66666578799996 2.7499997629999839))"
10312682,0.708,38.292,0,130.186,0,458.79,21.11,29.476,0.283,156.834,0.002,20.771,29.407,-0.283,0.339,0.069,-0.002,"POLYGON ((38.249999126999938 0.66666643799998582, 38.333332459999937 0.66666643799998582, 38.333332459999937 0.74999977099998583, 38.249999126999938 0.74999977099998583, 38.249999126999938 0.66666643799998582))"
10313069,2.208,39.875,0,160.5,0,532.23,23.236,32.218,0.057,176.77,0,23.781,32.236,-0.057,-0.544,-0.018,0,"POLYGON ((39.833332453999958 2.1666664319999853, 39.916665786999957 2.1666664319999853, 39.916665786999957 2.2499997649999854, 39.833332453999958 2.2499997649999854, 39.833332453999958 2.1666664319999853))"
10313076,1.458,37.292,0,120.971,0,321.04,15.38,26.023,4.592,141.366,0.032,15.76,25.582,-4.592,-0.38,0.44,-0.032,"POLYGON ((37.249999130999953 1.4166664349999891, 37.333332463999952 1.4166664349999891, 37.333332463999952 1.499999767999989, 37.249999130999953 1.499999767999989, 37.249999130999953 1.4166664349999891))"
10313090,1.458,37.375,0,123.786,0,380.655,17.707,27.67,4.437,144.702,0.031,17.862,27.173,-4.437,-0.154,0.496,-0.031,"POLYGON ((37.333332463999966 1.4166664349999891, 37.416665796999965 1.4166664349999891, 37.416665796999965 1.499999767999989, 37.333332463999966 1.499999767999989, 37.333332463999966 1.4166664349999891))"
10313414,1.042,37.625,1.675,124.612,0.013,432.68,19.947,28.885,1.584,142.394,0.012,19.742,28.59,0.091,0.206,0.295,0.002,"POLYGON ((37.583332462999948 0.99999976999998808, 37.666665795999947 0.99999976999998808, 37.666665795999947 1.083333102999988, 37.583332462999948 1.083333102999988, 37.583332462999948 0.99999976999998808))"
10313681,3.208,36.708,4.325,132.359,0.033,517.595,22.492,32.025,7.639,159.533,0.05,22.647,31.409,-3.314,-0.155,0.616,-0.017,"POLYGON ((36.666665799999947 3.166666427999985, 36.749999132999946 3.166666427999985, 36.749999132999946 3.2499997609999851, 36.666665799999947 3.2499997609999851, 36.666665799999947 3.166666427999985))"
10313691,1.458,38.958,0,152.783,0,530.135,23.41,31.939,0.069,170.073,0,23.371,31.563,-0.069,0.039,0.376,0,"POLYGON ((38.916665790999957 1.4166664349999891, 38.999999123999956 1.4166664349999891, 38.999999123999956 1.499999767999989, 38.916665790999957 1.499999767999989, 38.916665790999957 1.4166664349999891))"
10313702,2.292,37.958,0.15,134.616,0.001,373.525,17.117,27.784,5.46,166.888,0.031,17.82,26.944,-5.31,-0.703,0.84,-0.03,"POLYGON ((37.916665794999943 2.2499997649999841, 37.999999127999942 2.2499997649999841, 37.999999127999942 2.3333330979999842, 37.916665794999943 2.3333330979999842, 37.916665794999943 2.2499997649999841))"
10313730,1.042,37.542,2.525,123.761,0.02,427.955,19.772,28.752,1.584,141.696,0.012,19.565,28.467,0.941,0.207,0.285,0.009,"POLYGON ((37.499999129999964 0.99999976999998808, 37.583332462999962 0.99999976999998808, 37.583332462999962 1.083333102999988, 37.499999129999964 1.083333102999988, 37.499999129999964 0.99999976999998808))"
10313826,0.542,38.458,0,130.901,0,465.565,21.448,29.59,0.29,158.33,0.002,21.033,29.649,-0.29,0.415,-0.06,-0.002,"POLYGON ((38.416665792999964 0.49999977199998824, 38.499999125999963 0.49999977199998824, 38.499999125999963 0.58333310499998825, 38.416665792999964 0.58333310499998825, 38.416665792999964 0.49999977199998824))"
