"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10173120,1.625,39.958,0,64.09,0,139.628,25.157,35.622,49.189,36.441,1.864,24.781,33.208,-49.189,0.376,2.413,-1.864,"POLYGON ((39.916665786999943 1.5833331009999867, 39.999999119999941 1.5833331009999867, 39.999999119999941 1.6666664339999866, 39.916665786999943 1.6666664339999866, 39.916665786999943 1.5833331009999867))"
10173130,3.208,38.792,2.812,52.062,0.054,130.98,24.433,32.99,26.521,34.053,1,23.38,31.364,-23.708,1.053,1.626,-0.946,"POLYGON ((38.74999912499996 3.166666427999985, 38.833332457999958 3.166666427999985, 38.833332457999958 3.2499997609999851, 38.74999912499996 3.2499997609999851, 38.74999912499996 3.166666427999985))"
10173297,2.875,37.125,8.062,59.9,0.135,121.793,22.829,31.969,9.545,37.795,0.31,21.776,30.659,-1.482,1.053,1.309,-0.175,"POLYGON ((37.083332464999955 2.83333309599999, 37.166665797999954 2.83333309599999, 37.166665797999954 2.91666642899999, 37.083332464999955 2.91666642899999, 37.083332464999955 2.83333309599999))"
10173723,2.542,37.542,3.187,70.857,0.045,146.158,26.872,36.26,5.211,37.142,0.16,23.488,31.545,-2.024,3.384,4.716,-0.115,"POLYGON ((37.499999129999964 2.4999997639999876, 37.583332462999962 2.4999997639999876, 37.583332462999962 2.5833330969999877, 37.499999129999964 2.5833330969999877, 37.499999129999964 2.4999997639999876))"
10173724,3.125,38.958,0.75,56.401,0.013,132.889,24.49,33.485,26.115,34.109,0.99,23.484,31.473,-25.365,1.006,2.012,-0.977,"POLYGON ((38.916665790999957 3.0833330949999862, 38.999999123999956 3.0833330949999862, 38.999999123999956 3.1666664279999863, 38.916665790999957 3.1666664279999863, 38.916665790999957 3.0833330949999862))"
10173741,1.708,38.708,0.187,70.209,0.003,141.611,25.571,35.749,23.355,36.582,0.808,24.172,32.11,-23.168,1.398,3.639,-0.805,"POLYGON ((38.666665791999947 1.6666664339999855, 38.749999124999945 1.6666664339999855, 38.749999124999945 1.7499997669999854, 38.666665791999947 1.7499997669999854, 38.666665791999947 1.6666664339999855))"
10174075,0.125,38.292,5.958,50.897,0.117,134.856,24.12,35.017,20.975,33.664,0.71,22.196,30.852,-15.017,1.924,4.165,-0.593,"POLYGON ((38.249999126999938 0.0833331069999872, 38.333332459999937 0.0833331069999872, 38.333332459999937 0.16666643999998718, 38.249999126999938 0.16666643999998718, 38.249999126999938 0.0833331069999872))"
10174101,3.875,37.292,0,61.236,0,147.448,27.299,35.446,10.315,36.829,0.323,23.495,32.106,-10.315,3.805,3.34,-0.323,"POLYGON ((37.249999130999953 3.8333330919999895, 37.333332463999952 3.8333330919999895, 37.333332463999952 3.9166664249999896, 37.249999130999953 3.9166664249999896, 37.249999130999953 3.8333330919999895))"
10174140,3.958,37.458,0.437,61.525,0.007,134.535,24.839,33.6,9.697,36.448,0.302,22.907,31.569,-9.259,1.932,2.031,-0.295,"POLYGON ((37.416665796999951 3.9166664249999883, 37.499999129999949 3.9166664249999883, 37.499999129999949 3.9999997579999884, 37.416665796999951 3.9999997579999884, 37.416665796999951 3.9166664249999883))"
10174398,2.292,38.042,0.438,53.844,0.008,108.295,20.531,30.41,12.225,36.529,0.429,19.875,28.587,-11.787,0.656,1.823,-0.421,"POLYGON ((37.999999127999956 2.2499997649999841, 38.083332460999955 2.2499997649999841, 38.083332460999955 2.3333330979999842, 37.999999127999956 2.3333330979999842, 37.999999127999956 2.2499997649999841))"
10174454,1.542,36.542,0.062,57.514,0.001,122.826,22.767,32.326,12.659,34.312,0.443,20.683,29.911,-12.597,2.084,2.416,-0.441,"POLYGON ((36.49999913399995 1.4999997679999879, 36.583332466999948 1.4999997679999879, 36.583332466999948 1.5833331009999878, 36.49999913399995 1.5833331009999878, 36.49999913399995 1.4999997679999879))"
10174676,2.542,38.958,0.25,61.56,0.004,137.884,25.024,34.64,11.115,35.485,0.371,23.937,31.882,-10.865,1.087,2.759,-0.367,"POLYGON ((38.916665790999957 2.4999997639999876, 38.999999123999956 2.4999997639999876, 38.999999123999956 2.5833330969999877, 38.916665790999957 2.5833330969999877, 38.916665790999957 2.4999997639999876))"
10174698,3.542,37.958,0.438,55.902,0.008,120.682,22.938,31.543,12.998,35.577,0.425,21.741,30.31,-12.561,1.197,1.233,-0.417,"POLYGON ((37.916665794999943 3.4999997599999872, 37.999999127999942 3.4999997599999872, 37.999999127999942 3.5833330929999874, 37.916665794999943 3.5833330929999874, 37.916665794999943 3.4999997599999872))"
10174723,1.125,38.292,2.938,68.817,0.043,134.15,23.901,34.845,10.353,35.698,0.314,23.014,31.24,-7.415,0.887,3.605,-0.271,"POLYGON ((38.249999126999938 1.0833331029999869, 38.333332459999937 1.0833331029999869, 38.333332459999937 1.1666664359999868, 38.249999126999938 1.1666664359999868, 38.249999126999938 1.0833331029999869))"
10174958,1.625,36.875,0.625,53.173,0.012,95.839,18.446,28.936,19.85,33.925,0.69,18.955,28.422,-19.225,-0.508,0.515,-0.678,"POLYGON ((36.833332465999945 1.5833331009999867, 36.916665798999944 1.5833331009999867, 36.916665798999944 1.6666664339999866, 36.833332465999945 1.6666664339999866, 36.833332465999945 1.5833331009999867))"
10174995,2.542,38.875,0.375,62.249,0.006,139.191,25.362,34.76,11.16,35.474,0.371,23.769,31.721,-10.785,1.592,3.039,-0.365,"POLYGON ((38.833332457999944 2.4999997639999876, 38.916665790999943 2.4999997639999876, 38.916665790999943 2.5833330969999877, 38.833332457999944 2.5833330969999877, 38.833332457999944 2.4999997639999876))"
10175140,0.542,37.375,1.875,48.322,0.039,101.106,18.52,30.367,17.579,32.18,0.608,19.814,28.939,-15.704,-1.294,1.428,-0.569,"POLYGON ((37.333332463999966 0.49999977199998824, 37.416665796999965 0.49999977199998824, 37.416665796999965 0.58333310499998825, 37.333332463999966 0.58333310499998825, 37.333332463999966 0.49999977199998824))"
10175547,0.792,37.458,0.625,53.407,0.012,118.86,21.488,32.472,12.946,32.725,0.431,19.229,28.439,-12.321,2.258,4.033,-0.419,"POLYGON ((37.416665796999951 0.74999977099998461, 37.499999129999949 0.74999977099998461, 37.499999129999949 0.83333310399998461, 37.416665796999951 0.83333310399998461, 37.416665796999951 0.74999977099998461))"
10175551,2.875,38.458,0.25,65.472,0.004,136.792,24.899,34.184,16.08,35.722,0.514,23.415,31.343,-15.83,1.485,2.841,-0.51,"POLYGON ((38.416665792999964 2.83333309599999, 38.499999125999963 2.83333309599999, 38.499999125999963 2.91666642899999, 38.416665792999964 2.91666642899999, 38.416665792999964 2.83333309599999))"
10175557,3.458,38.792,3.125,45.841,0.068,121.251,23.135,31.508,23.241,33.043,0.838,23.091,31.143,-20.116,0.045,0.365,-0.769,"POLYGON ((38.74999912499996 3.4166664269999885, 38.833332457999958 3.4166664269999885, 38.833332457999958 3.4999997599999886, 38.74999912499996 3.4999997599999886, 38.74999912499996 3.4166664269999885))"
10175634,2.875,38.375,0,70.531,0,136.625,24.766,34.27,16.082,35.906,0.511,23.515,31.415,-16.082,1.252,2.855,-0.511,"POLYGON ((38.333332459999951 2.83333309599999, 38.41666579299995 2.83333309599999, 38.41666579299995 2.91666642899999, 38.333332459999951 2.91666642899999, 38.333332459999951 2.83333309599999))"
10175664,3.625,36.958,0.188,68.941,0.003,146.964,27.068,35.881,11.27,37.985,0.336,23.708,32.46,-11.082,3.359,3.421,-0.333,"POLYGON ((36.916665798999958 3.583333092999986, 36.999999131999957 3.583333092999986, 36.999999131999957 3.6666664259999862, 36.916665798999958 3.6666664259999862, 36.916665798999958 3.583333092999986))"
10176653,1.458,38.125,10.5,69.305,0.152,135.947,24.369,35.092,19.188,36.198,0.649,22.541,30.767,-8.688,1.828,4.325,-0.498,"POLYGON ((38.083332460999941 1.4166664349999891, 38.16666579399994 1.4166664349999891, 38.16666579399994 1.499999767999989, 38.083332460999941 1.499999767999989, 38.083332460999941 1.4166664349999891))"
10176656,1.375,37.625,0.562,55.176,0.01,121.647,21.832,32.925,12.64,34.94,0.43,21.952,30.369,-12.078,-0.121,2.556,-0.419,"POLYGON ((37.583332462999948 1.3333331019999903, 37.666665795999947 1.3333331019999903, 37.666665795999947 1.4166664349999902, 37.583332462999948 1.4166664349999902, 37.583332462999948 1.3333331019999903))"
10176667,3.792,36.458,3.312,72.237,0.046,141.77,26.197,34.69,16.157,39.033,0.505,23.577,32.737,-12.845,2.621,1.953,-0.459,"POLYGON ((36.416665800999965 3.7499997589999836, 36.499999133999964 3.7499997589999836, 36.499999133999964 3.8333330919999837, 36.416665800999965 3.8333330919999837, 36.416665800999965 3.7499997589999836))"
10176687,1.125,39.375,0,69.391,0,141.38,25.455,36.004,16.443,36.288,0.52,24.609,32.871,-16.443,0.846,3.133,-0.52,"POLYGON ((39.333332455999965 1.0833331029999869, 39.416665788999964 1.0833331029999869, 39.416665788999964 1.1666664359999868, 39.333332455999965 1.1666664359999868, 39.333332455999965 1.0833331029999869))"
10176690,0.958,39.458,0,67.397,0,140.476,25.222,35.774,21.474,36.345,0.66,24.631,32.935,-21.474,0.591,2.84,-0.66,"POLYGON ((39.41666578899995 0.91666643699998929, 39.499999121999949 0.91666643699998929, 39.499999121999949 0.9999997699999893, 39.41666578899995 0.9999997699999893, 39.41666578899995 0.91666643699998929))"
10176707,0.875,37.958,0.813,64.238,0.013,129.234,23.089,33.887,9.074,34.813,0.294,21.467,30.08,-8.261,1.621,3.807,-0.282,"POLYGON ((37.916665794999943 0.8333331039999905, 37.999999127999942 0.8333331039999905, 37.999999127999942 0.91666643699999051, 37.916665794999943 0.91666643699999051, 37.916665794999943 0.8333331039999905))"
10176739,2.958,37.958,0,68.3,0,141.196,25.743,34.786,9.836,37.174,0.328,23.657,31.601,-9.836,2.086,3.186,-0.328,"POLYGON ((37.916665794999943 2.9166664289999886, 37.999999127999942 2.9166664289999886, 37.999999127999942 2.9999997619999887, 37.916665794999943 2.9999997619999887, 37.916665794999943 2.9166664289999886))"
10176749,1.375,36.542,26.375,39.836,0.662,87.851,18.012,27.089,15.916,33.562,0.566,18.997,28.608,10.459,-0.985,-1.519,0.096,"POLYGON ((36.49999913399995 1.3333331019999903, 36.583332466999948 1.3333331019999903, 36.583332466999948 1.4166664349999902, 36.49999913399995 1.4166664349999902, 36.49999913399995 1.3333331019999903))"
10176754,0.708,39.542,0,68.257,0,141.4,25.4,36.087,9.357,36.261,0.291,24.65,32.988,-9.357,0.75,3.099,-0.291,"POLYGON ((39.499999121999963 0.66666643799998582, 39.583332454999962 0.66666643799998582, 39.583332454999962 0.74999977099998583, 39.499999121999963 0.74999977099998583, 39.499999121999963 0.66666643799998582))"
10176756,0.542,39.042,0,66.621,0,135.78,24.047,34.997,13.566,35.907,0.402,23.53,31.997,-13.566,0.518,3.001,-0.402,"POLYGON ((38.999999123999942 0.49999977199998824, 39.083332456999941 0.49999977199998824, 39.083332456999941 0.58333310499998825, 38.999999123999942 0.58333310499998825, 38.999999123999942 0.49999977199998824))"
10176771,1.958,39.125,0,66.248,0,140.034,25.326,35.299,30.399,36.121,1.213,24.236,32.31,-30.399,1.09,2.989,-1.213,"POLYGON ((39.083332456999955 1.916666432999989, 39.166665789999954 1.916666432999989, 39.166665789999954 1.9999997659999889, 39.083332456999955 1.9999997659999889, 39.083332456999955 1.916666432999989))"
10176934,0.542,39.292,0,66.643,0,138.405,24.609,35.511,11.885,36.056,0.382,24.156,32.55,-11.885,0.453,2.96,-0.382,"POLYGON ((39.249999122999952 0.49999977199998824, 39.333332455999951 0.49999977199998824, 39.333332455999951 0.58333310499998825, 39.249999122999952 0.58333310499998825, 39.249999122999952 0.49999977199998824))"
10176940,0.792,38.042,0.813,64.274,0.013,129.234,23.089,33.887,12.588,34.832,0.42,21.576,30.187,-11.775,1.512,3.7,-0.408,"POLYGON ((37.999999127999956 0.74999977099998461, 38.083332460999955 0.74999977099998461, 38.083332460999955 0.83333310399998461, 37.999999127999956 0.83333310399998461, 37.999999127999956 0.74999977099998461))"
10176952,2.875,37.792,0,71.513,0,147.408,27.219,36.155,9.625,37.425,0.318,23.633,31.621,-9.625,3.586,4.534,-0.318,"POLYGON ((37.749999128999946 2.83333309599999, 37.833332461999944 2.83333309599999, 37.833332461999944 2.91666642899999, 37.749999128999946 2.91666642899999, 37.749999128999946 2.83333309599999))"
10177096,0.292,37.542,0.125,42.252,0.003,81.603,16.197,27.118,26.279,31.34,0.951,17.556,27.25,-26.154,-1.359,-0.132,-0.948,"POLYGON ((37.499999129999964 0.24999977299998477, 37.583332462999962 0.24999977299998477, 37.583332462999962 0.33333310599998478, 37.499999129999964 0.33333310599998478, 37.499999129999964 0.24999977299998477))"
10177105,2.458,40.208,0.729,55.328,0.013,128.131,23.681,32.928,54.834,35.471,2.099,23.838,32.365,-54.105,-0.157,0.562,-2.086,"POLYGON ((40.166665785999953 2.4166664309999888, 40.249999118999952 2.4166664309999888, 40.249999118999952 2.4999997639999889, 40.166665785999953 2.4999997639999889, 40.166665785999953 2.4166664309999888))"
10177112,2.625,39.875,0.521,57.272,0.009,133.78,24.434,33.818,45.255,35.131,1.678,23.84,32.191,-44.734,0.594,1.627,-1.669,"POLYGON ((39.833332453999958 2.5833330969999864, 39.916665786999957 2.5833330969999864, 39.916665786999957 2.6666664299999865, 39.833332453999958 2.6666664299999865, 39.833332453999958 2.5833330969999864))"
10177145,2.542,39.958,0.542,56.13,0.01,132.014,24.235,33.484,44.847,35.344,1.658,24.075,32.429,-44.305,0.159,1.054,-1.648,"POLYGON ((39.916665786999943 2.4999997639999876, 39.999999119999941 2.4999997639999876, 39.999999119999941 2.5833330969999877, 39.916665786999943 2.5833330969999877, 39.916665786999943 2.4999997639999876))"
10177191,1.958,37.042,4.312,48.714,0.089,105.196,20.517,29.539,14.459,34.607,0.482,19.12,28.482,-10.147,1.397,1.057,-0.394,"POLYGON ((36.999999131999942 1.916666432999989, 37.083332464999941 1.916666432999989, 37.083332464999941 1.9999997659999889, 36.999999131999942 1.9999997659999889, 36.999999131999942 1.916666432999989))"
10177194,1.875,38.542,0.375,71.592,0.005,142.441,25.845,35.895,21.704,36.226,0.787,24.113,31.958,-21.329,1.732,3.937,-0.782,"POLYGON ((38.499999125999949 1.8333330999999902, 38.583332458999948 1.8333330999999902, 38.583332458999948 1.91666643299999, 38.499999125999949 1.91666643299999, 38.499999125999949 1.8333330999999902))"
10177227,2.708,37.125,8.062,60.403,0.133,121.793,22.829,31.969,7.949,37.745,0.267,23.507,31.915,0.113,-0.678,0.054,-0.134,"POLYGON ((37.083332464999955 2.6666664299999852, 37.166665797999954 2.6666664299999852, 37.166665797999954 2.7499997629999853, 37.083332464999955 2.7499997629999853, 37.083332464999955 2.6666664299999852))"
10177228,2.958,37.125,0.062,72.829,0.001,143.57,26.162,35.476,9.138,37.774,0.295,21.661,30.6,-9.076,4.501,4.876,-0.294,"POLYGON ((37.083332464999955 2.9166664289999886, 37.166665797999954 2.9166664289999886, 37.166665797999954 2.9999997619999887, 37.083332464999955 2.9999997619999887, 37.083332464999955 2.9166664289999886))"
10177234,4.042,37.042,0.5,60.84,0.008,135.772,25.301,33.491,12.505,37.335,0.382,22.876,31.832,-12.005,2.424,1.659,-0.374,"POLYGON ((36.999999131999942 3.9999997579999871, 37.083332464999941 3.9999997579999871, 37.083332464999941 4.0833330909999868, 36.999999131999942 4.0833330909999868, 36.999999131999942 3.9999997579999871))"
10177243,3.458,38.542,3,49.209,0.061,125.702,23.798,32.117,19.42,33.941,0.671,23.01,31.094,-16.42,0.788,1.023,-0.61,"POLYGON ((38.499999125999949 3.4166664269999885, 38.583332458999948 3.4166664269999885, 38.583332458999948 3.4999997599999886, 38.499999125999949 3.4999997599999886, 38.499999125999949 3.4166664269999885))"
10177255,0.458,39.875,0,66.729,0,140.552,25.158,35.993,15.035,36.248,0.48,24.827,33.174,-15.035,0.33,2.819,-0.48,"POLYGON ((39.833332453999958 0.41666643899998945, 39.916665786999957 0.41666643899998945, 39.916665786999957 0.49999977199998946, 39.833332453999958 0.49999977199998946, 39.833332453999958 0.41666643899998945))"
10177265,3.458,37.875,6.438,55.215,0.117,107.048,21.027,29.558,11.385,35.639,0.383,21.326,30.012,-4.948,-0.299,-0.453,-0.266,"POLYGON ((37.833332461999959 3.4166664269999885, 37.916665794999957 3.4166664269999885, 37.916665794999957 3.4999997599999886, 37.833332461999959 3.4999997599999886, 37.833332461999959 3.4166664269999885))"
